time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,aerosol_optical_depth,uv_index,uv_index_clear_sky,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_direction_10m,wind_gusts_10m,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapor_pressure_deficit,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,is_day,city,latitude,longitude
2025-11-02 00:00:00,129.0,250.5,946.0,44.0,25.1,40.0,228.0,1.05,0.0,0.0,22.5,90,26.7,0.0,0.7,360,1.8,1010.8,991.4,36,0,36,0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0,firozabad,27.1591,78.3957
2025-11-02 01:00:00,129.9,251.5,794.0,41.7,24.5,41.0,227.0,1.09,0.0,0.0,22.1,92,26.2,0.0,0.8,63,1.1,1010.7,991.3,53,0,53,0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,firozabad,27.1591,78.3957
2025-11-02 02:00:00,129.9,249.6,700.0,40.3,23.9,40.0,226.0,1.11,0.0,0.0,21.8,94,25.8,0.0,1.3,56,1.4,1010.6,991.2,64,0,64,0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0,firozabad,27.1591,78.3957
2025-11-02 03:00:00,129.0,248.7,724.0,41.3,23.3,34.0,227.0,1.14,0.0,0.0,21.6,95,25.7,0.0,0.4,360,1.4,1010.7,991.2,68,0,68,0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0,firozabad,27.1591,78.3957
2025-11-02 04:00:00,129.5,249.6,806.0,43.4,22.7,27.0,229.0,1.15,0.0,0.0,21.4,96,25.2,0.0,2.9,330,3.2,1010.6,991.1,79,25,67,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,firozabad,27.1591,78.3957
2025-11-02 05:00:00,137.4,254.3,869.0,59.3,24.7,8.0,220.0,1.2,0.0,0.0,21.6,96,25.6,0.0,2.4,297,3.6,1010.5,991.1,81,40,68,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,firozabad,27.1591,78.3957
2025-11-02 06:00:00,139.7,258.9,898.0,55.9,25.0,12.0,206.0,1.19,0.0,0.0,21.7,95,25.7,0.0,1.8,259,3.2,1010.9,991.4,78,21,66,0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1,firozabad,27.1591,78.3957
2025-11-02 07:00:00,143.9,257.0,909.0,50.8,25.5,20.0,187.0,1.17,0.25,0.25,22.3,94,26.5,0.0,2.5,225,3.6,1011.6,992.2,80,19,68,0,0.03,0.16,46.0,12.0,34.0,83.7,46.0,146.5,1,firozabad,27.1591,78.3957
2025-11-02 08:00:00,134.1,228.6,869.0,43.2,26.6,41.0,179.0,1.15,0.95,0.95,23.8,91,28.4,0.0,3.1,225,6.8,1012.5,993.2,68,0,68,0,0.11,0.26,177.0,73.0,104.0,233.7,177.0,434.0,1,firozabad,27.1591,78.3957
2025-11-02 09:00:00,119.7,244.0,739.0,30.9,29.4,91.0,192.0,1.11,2.05,2.05,25.5,87,30.5,0.0,4.1,232,9.4,1013.1,993.9,53,0,53,0,0.23,0.42,349.0,185.0,164.0,377.6,349.0,680.7,1,firozabad,27.1591,78.3957
2025-11-02 10:00:00,107.3,250.5,559.0,16.3,32.7,154.0,216.0,1.09,3.15,3.15,27.2,79,31.9,0.0,6.8,270,14.8,1013.0,993.9,56,37,36,0,0.38,0.76,549.0,362.0,187.0,578.1,549.0,870.1,1,firozabad,27.1591,78.3957
2025-11-02 11:00:00,93.8,217.5,418.0,5.5,33.3,199.0,239.0,1.05,3.85,3.85,28.2,70,32.7,0.0,6.1,273,18.7,1012.0,992.9,44,44,0,0,0.44,1.14,624.0,436.0,188.0,612.5,624.0,989.1,1,firozabad,27.1591,78.3957
2025-11-02 12:00:00,85.7,207.7,351.0,1.4,28.8,211.0,258.0,1.03,3.75,3.75,28.7,66,33.0,0.0,7.8,283,16.6,1010.8,991.8,56,41,33,0,0.48,1.33,669.0,482.0,187.0,650.5,669.0,1029.6,1,firozabad,27.1591,78.3957
2025-11-02 13:00:00,81.7,215.1,323.0,1.2,21.7,204.0,275.0,1.01,2.95,2.95,29.1,60,32.5,0.0,8.6,292,18.0,1010.2,991.2,46,46,0,0,0.47,1.61,630.0,442.0,188.0,621.1,630.0,988.9,1,firozabad,27.1591,78.3957
2025-11-02 14:00:00,78.2,224.0,317.0,2.6,16.1,191.0,283.0,0.94,1.85,1.85,29.0,57,31.4,0.0,8.9,302,18.4,1010.0,991.0,56,56,0,0,0.41,1.72,541.0,369.0,172.0,589.6,541.0,869.7,1,firozabad,27.1591,78.3957
2025-11-02 15:00:00,75.0,233.8,332.0,5.2,13.5,175.0,277.0,0.86,0.8,0.8,28.5,59,31.0,0.0,8.4,310,18.4,1010.3,991.3,56,56,0,0,0.29,1.6,370.0,235.0,135.0,480.1,370.0,680.2,1,firozabad,27.1591,78.3957
2025-11-02 16:00:00,73.6,234.2,369.0,9.4,12.4,153.0,263.0,0.76,0.2,0.2,27.3,68,30.8,0.0,5.9,317,16.6,1010.1,991.0,50,50,0,0,0.16,1.16,212.0,115.0,97.0,368.9,212.0,433.2,1,firozabad,27.1591,78.3957
2025-11-02 17:00:00,99.4,236.1,416.0,15.0,12.6,120.0,262.0,0.93,0.0,0.0,26.5,75,30.8,0.0,3.1,315,11.2,1009.6,990.5,14,14,0,0,0.04,0.86,61.0,26.0,35.0,181.9,61.0,145.6,1,firozabad,27.1591,78.3957
